"%s","%s"
"%s already exist.","%s sudah ada."
"%s already exists.","%s sudah ada."
"-- Please Select --","-- Silakan pilih --"
"Empty identifier field name","Nama field pengenal kosong"
"Empty main table name","Nama meja utama kosong"
"Enable Charts","Aktifkan bagan"
"Enabled","Aktif"
"Enabled for Admin","Aktifkan untuk Admin"
"Enabled for Frontend","Aktifkan untuk antar muka"
"Environment Update Time","Perbaruan waktu lingkungan"
"Error in file: ""%s"" - %s","Error in file: ""%s"" - %s"
"European Union Countries","European Union Countries"
"Exceptions Log File Name","Pengecualian log file nama"
"Favicon Icon","Ikon Favicon"
"File %s does not exist","Berkas %s tidak ada"
"File %s is not readable","Berkas %s tidak dapat dibaca"
"File not found","Berkas tidak ditemukan"
"File system","Sistem berkas"
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded"
"First Day of Week","Hari pertama dari sepekan"
"Flush Cache Storage","Flush Cache Storage"
"Flush Magento Cache","Flush Magento Cache"
"Footer","catatan kaki"
"Forgot Password Email Sender","Lupa Kata sandi Pengirim Email"
"Forgot Password Email Template","Lupa kata sandi template email"
"General","Umum"
"General Contact","General Contact"
"General Contact Email","General Contact Email"
"General Contact Name","General Contact Name"
"General Settings","Pengaturan umum"
"Get info about current Magento installation","Get info about current Magento installation"
"Global","Global"
"HTML Head","Kepala HTML"
"HTML tags are not allowed","HTML tags are not allowed"
"Header","Judul standar"
"Host","Host"
"How many links to display at once.","Berapa banyak link untuk menampilkan sekaligus."
"ID Path for Specified Store","Jalur ID untuk toko yang ditentukan"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Jika posisi bingkai saat ini tidak mencakup halaman maksimal, akan membuat link ke posisi saat ini ditambah / dikurangi nilai ini."
"Incorrect credit card expiration date.","Tanggal kadaluarsa kartu kredit tidak benar"
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Invalid URL '%value%'.","Invalid URL '%value%'."
"Invalid base url type","Tipe url dasar tidak valid"
"Invalid block name to set child %s: %s","Nama blok tidak valid untuk mengatur seorang anak %s: %s"
"Invalid block type: %s","Tipe blok tidak valid: %s"
"Invalid block: %s","blok tidak valid: %s"
"Invalid connection","Invalid connection"
"Invalid date","Tanggal tidak valid"
"Invalid layout update handle","Penanganan perbaruan tampilan tidak valid"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid query","Invalid query"
"Invalid transactional email code: %s","Invalid transactional email code: %s"
"Invalid website\'s configuration path: %s","Website tidak valid konfigurasi path: %s"
"JavaScript Settings","JavaScript Settings"
"Layout","Tampilan"
"Leave empty for access from any location.","Biarkan kosong untuk akses dari berbagai lokasi."
"List of stores","List of stores"
"Locale","Locale"
"Locale Options","Opsi lokal"
"Log Settings","Pengaturan log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Login is Case Sensitive","Login adalah Case Sensitive"
"Logo Image","Logo Image"
"Logo Image Alt","Alternatif gambar logo"
"Logo Image Src","Src gambar logo"
"Magento info","Magento info"
"Magento info API","Magento info API"
"Mail Sending Settings","Pengaturan pengiriman Surat"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Pastikan bahwa base URL diakhiri dengan '/' (slash), c.o. http://domain anda/magento/"
"Manage Stores","Kelola Toko"
"Match expressions in the same order as displayed in the configuration.","Ekspresi pencocokan dalam urutan yang sama seperti yang ditampilkan dalam konfigurasi."
"Media Storage","Media Penyimpanan"
"Merge CSS Files","Gabungkan file CSS"
"Merge JavaScript Files","Gabungkan file Javascript"
"Miscellaneous HTML","Berbagai HTML"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Model collection resource name is not defined.","Nama sumber koleksi model tidak didefinisikan."
"Module ""%1$s"" cannot depend on ""%2$s"".","Module ""%1$s"" cannot depend on ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" requires module ""%2$s""."
"Name","Nama"
"New Design Change","Perubahan desain baru"
"New Store","Toko baru"
"New Store View","Tampilan toko baru"
"New Website","Situs baru"
"No","Tidak"
"Offloader header","Offloader header"
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Package","Paket"
"Pagination","pemberian nomor halaman"
"Pagination Frame","Rangka pemberian nomor halaman"
"Pagination Frame Skip","Lewati rangka pemberian nomor halaman"
"Parent directory does not exist: %s","Direktori induk tidak ada: %s"
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used."
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\\)."""
"Please define flag code.","Silakan tentukan kode bendera"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","silkan masukan 6 atau lebih karakter Leading or trailing spaces will be ignored."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Please enter 7 or more characters. Password should contain both numeric and alphabetic characters."
"Please enter a number 0 or greater in this field.","Silakan masukan angka 0 atau lebih besar di field ini."
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Please enter a number greater than 0 in this field.","Silakan masukan angka lebih besar dari 0 di field ini."
"Please enter a number lower than 100.","Masukan angka yang lebih rendah dari 100."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Please enter a valid URL. Protocol is required (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Please enter a valid XML-identifier. For example something_1, block5, id-4."
"Please enter a valid credit card number.","Silakan masukkan nomor kartu kredit yang valid."
"Please enter a valid credit card verification number.","Silakan masukkan nomor verifikasi kartu kredit yang valid."
"Please enter a valid date between %s and %s","Harap masukkan tanggal yang valid antara %s dan %s"
"Please enter a valid date equal to or greater than %s","Harap masukkan tanggal yang valid sama atau lebih besar dari %s"
"Please enter a valid date less than or equal to %s","Harap masukkan tanggal yang valid kurang dari atau sama dengan %s"
"Please enter a valid date.","Silkan masukan tanggal yang berlaku"
"Please enter a valid day (1-%d).","Silakan masukan hari yang berlaku (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Masukan alamat surel yang valid. For example johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid full date","Silakan masukan tanggal yang lengkap"
"Please enter a valid month (1-12).","Silakan masukan bulan yang lengkap (1-12)."
"Please enter a valid number in this field.","Silakan masukan nomor yang berlaku pada field ini"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid year (1900-%d).","Masukkan tahun yang berlaku (1900 -% d)."
"Please enter a valid zip code.","Silakan masukan kode pos yang berlaku"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Silakan masukan kode pos yang berlaku For example 90602 or 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Silakan masukkan nomor penerbitan atau tanggal mulai untuk beralih / jenis kartu tunggal."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%."
"Please make sure your passwords match.","Pastikan bahwa kata sandi anda cocok"
"Please select State/Province.","Silakan Pilih Negara/Provinsi."
"Please select a file","Please select a file"
"Please select an option.","Silakan pilih Opsi"
"Please select one of the above options.","Silakan pilih salah satu dari pilihan diatas"
"Please select one of the options.","Silakan pilih salah satu dari pilihan"
"Please set available and/or protected paths list(s) before validation.","Silakan set daftar yang tersedia dan / atau dilindungi jalur sebelum validasi."
"Please specify either a category or a product, or both.","Silakan tentukan salah satu kategori atau sebuah produk atau keduanya."
"Please use letters only (a-z or A-Z) in this field.","Silakan gunakan hanya huruf (a-z atau A-Z) di field ini."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Silakan gunakan hanya huruf (a-z atau A-Z ) atau angka (0-9) atau ruang dan # hanya di field ini."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Silakan gunakan hanya hurup (a-z), Angka (0-9) atau garis bawah(_)pada field ini, karakter pertama harus sebuah hurup."
"Please use only visible characters and spaces.","Silakan Gunakan hanya karakter yang terlihat dan ruang."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","Silakan tunggu, memuat.."
"Polls","Pol"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Request Path for Specified Store","Permintaan Jalur untuk Toko ditentukan"
"Request path length exceeds allowed %s symbols.","Request path length exceeds allowed %s symbols."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Requested file may not include parent directory traversal (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set.","Resource belum diset."
"Retrieve info about current Magento installation","Retrieve info about current Magento installation"
"Retrieve store data","Retrieve store data"
"Retrieve store list","Retrieve store list"
"Return-Path Email","Return-Path Email"
"Root Category","Kategori sumber"
"Sales Representative","Sales Representative"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Save","Simpan"
"Save Store","Simpan Toko"
"Save Store View","Simpan tampilan toko"
"Save Website","Simpan situs"
"Search Engines Optimization","Optimalisasi Mesin Pencari"
"Secure","Aman"
"Security","Keamanan"
"Select Date","Pilih tanggal"
"Select Media Database","Pilih database media"
"Sender Email","Email pengirim"
"Sender Name","Nama pengirim"
"Services","Layanan"
"Session Cookie Management","Sesi Cookie Management"
"Session Lifetime (seconds)","Sesi masa pakai (seconds)"
"Session Validation Settings","Sesi Pengaturan validasi"
"Set Return-Path","Set Return-Path"
"Set as Default","Set sebagai standar"
"Skin (Images / CSS)","Lapisan (Gambar / CSS)"
"Sort Order","Urutan sortir"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Start date cannot be greater than end date.","Tanggal mulai tidak boleh lebih besar dari tanggal akhir."
"Startup Page","Halaman Startup"
"Status","Status"
"Storage Configuration for Media","Konfigurasi penyimpanan untuk media"
"Store","Toko"
"Store API","Store API"
"Store Contact Address","Alamat Kontak Toko"
"Store Contact Information","Informasi Kontak Toko"
"Store Contact Telephone","Telepon Kontak Toko"
"Store Email Addresses","Alamat Email Toko"
"Store Information","Informasi Toko"
"Store Name","Nama Toko"
"Store View","Tampilan toko"
"Store View Information","Tampilan informasi toko"
"Store View Name","Tampilan nama toko"
"Store view doesn't exist","Tampilan toko tidak ada"
"Store with the same code","Toko dengan kode yang sama"
"System","System"
"System Log File Name","Sistem log nama file"
"Template Path Hints","Petunjuk jalur template"
"Template Settings","pengaturan template"
"Template Variables","Variabel template"
"Templates","template"
"Text length does not satisfy specified text range.","Panjang teks tidak memuaskan tentukan jangkauan teks"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Kode toko mungkin berisi hanya huruf (a-z),angka (0-9) atau garis bawah (_),karakter pertama harus huruf a"
"The store does not exist","Toko tidak ada"
"The store has been deleted.","Toko telah dihapus"
"The store has been saved.","Toko telah disimpan"
"The store view has been deleted.","Tampilan toko telah dihapus"
"The store view has been saved","Tampilan toko telah disimpan"
"The template Name must not be empty.","Nama template tidak boleh kosong"
"The value is not within the specified range.","Nilai tidak dalam kisaran tertentu."
"The website does not exist.","Situs tidak ada"
"The website has been deleted.","Situs telah dihapus"
"The website has been saved.","Situs telah disimpan"
"Themes","Tema"
"This category and all its child elements","Kategori ini dan semua elemen turunan nya"
"This category and its child categories only","Kategori ini dan hanya elemen turunan nya"
"This category and its products only","Kategori ini dan hanya produk saja"
"This category only","Hanya kategori ini"
"This date is a required value.","This date is a required value."
"This is a required field.","field ini dibutuhkan."
"This store cannot be deleted.","Toko ini tidak bisa dihapus"
"This store view cannot be deleted.","Tampilan toko ini tidak bisa dihapus"
"This website cannot be deleted.","Situs ini tidak bisa dihapus"
"This will be displayed just before body closing tag.","Ini akan ditampilkan sesaat sebelum body closing tag."
"This will be included before head closing tag in page HTML.","Ini termasuk sebelum head closing tag pada halaman HTML."
"Timezone","Zona waktu"
"Title Prefix","Awalan judul"
"Title Suffix","Akhiran Judul"
"Transactional Emails","Email Transaksi"
"Translate Inline","Terjemahkan Segaris"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Menerjemahkan, blok dan cache output lainnya harus dinonaktifkan untuk kedua ujung depan dan terjemahan sejajar admin."
"Translations","Terjemahan"
"Two and more slashes together are not permitted in request path","Dua garis miring dan lebih bersama tidak diperbolehkan di jalur permintaan"
"Two and more slashes together are not permitted in url rewrite suffix","Dua garis miring dan lebih bersama tidak diperbolehkan di akhiran url menulis ulang"
"Unable to create directory: %s","Tidak dapat membuat direktori: %s"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Unable to save file ""%s"" at ""%s""","Unable to save file ""%s"" at ""%s"""
"Unable to save file: %s","Tidak dapat menyimpan file "%s"
"Unknown old style column type definition: {$definition}.","Definisi Tipe kolom gaya lama tidak diketahui: {$definisi}."
"Unknown scope ""%s"".","Unknown scope ""%s""."
"Unsecure","Tidak aman"
"Url Options","Pilihan url"
"Use Custom Admin Path","Gunakan admin Path khusus"
"Use Custom Admin URL","Use Custom Admin URL"
"Use HTTP Only","Gunakan Hanya HTTP"
"Use SID on Frontend","Gunakan SID pada Frontend"
"Use Secure URLs in Admin","Gunakan  URLs aman pada Admin"
"Use Secure URLs in Frontend","Gunakan URLs aman pada ujung depan"
"Use Web Server Rewrites","Gunakan Web Server Penulisan ulang"
"VAT Number","VAT Number"
"Validate HTTP_USER_AGENT","Validasi HTTP_PENGGUNA_AGEN"
"Validate HTTP_VIA","Validasi HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validasi HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validasi REMOTE_ADDR"
"Validation has failed.","Validasi gagal"
"Values less than 60 are ignored. Note that changes will apply after logout.","Values less than 60 are ignored. Note that changes will apply after logout."
"Variable Code must be unique.","Kode variabel harus unik"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk."
"Web","Web"
"Website","Situs"
"Website Information","Informasi situs"
"Website Name","Nama Situs"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Kode Website mungkin hanya mengandung hurup (a-z), angka (0-9) atau garis bawah(_), karakter pertama harus sebuah hurup"
"Website with the same code","Situs dengan kode yang sama"
"Weekend Days","Hari akhir pekan"
"Welcome Text","Teks selamat datang"
"Wrong file info format","Format info file salah"
"Wrong number of arguments for %s","Jumlah salah dari argumen untuk %s"
"Wrong old style column type definition: {$definition}.","Definisi Tipe kolom gaya lama tidak diketahui: {$definisi}."
"Yes","Ya"
"You will have to log in after you save your custom admin path.","Anda harus log in setelah Anda menyimpan path admin kustom Anda. "
"Your design change for the specified store intersects with another one, please specify another date range.","Perubahan desain Anda untuk toko tertentu bersinggungan dengan satu sama lain, harap sebutkan rentang tanggal yang lain. "
"database ""%s""","database ""%s"""
